Title,Name [personal] (Creator),Name [personal] (Addressee),Name [corporate] (Creator),Place of Origin,Publisher,Date Created,Subject - Topic,Subject - Geographic,Subject - Name [personal],Subject - Name [corporate],Abstract (Description),Biographical Information,Note [content] (Note),Contributing Repository
"Letter from J. L. Brent to Reginald Dykers, 1905 March 10","Brent, J. L.","Dykers, Reginald.",,New Orleans (La.),,1905-03-10,Roasts (Public speaking)--Louisiana--New Orleans.,,"Stubbs, William Carter, 1846-1924",Louisiana Sugar Planters' Association--Management.,"Brent accepts an invitation to sit on a committee of ""friends & admirers"" of Dr. W. C. Stubbs for a banquet in his honor at which Stubbs will be ""tenderized.""","The Louisiana Sugar Planters' Association was founded in 1877 by a group of prominent planters.  Based in New Orleans, the group was largely responsible for setting in motion the modernization of Louisiana's sugar industry.  It merged with the American Cane Growers' Association in 1922, creating the American Sugar Cane League.",Reginald Dykers was secretary of the Louisiana Sugar Planters' Association.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from J.C. Mire to Reginald Dykers, 1905 March 10","Mire, J. C.","Dykers, Reginald.",,Belle Helene (La.),,1905-03-10,Roasts (Public speaking)--Louisiana--New Orleans.,,"Stubbs, William Carter, 1846-1925",Louisiana Sugar Planters' Association.,Mire accepts the invitation to attend the banquet in honor of Dr. Stubbs.,"The Louisiana Sugar Planters' Association was founded in 1877 by a group of prominent planters.  Based in New Orleans, the group was largely responsible for setting in motion the modernization of Louisiana's sugar industry.  It merged with the American Cane Growers' Association in 1922, creating the American Sugar Cane League.",Reginald Dykers was secretary of the Louisiana Sugar Planters' Association.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from Honore Dugas to Reginald Dykers, 1905 March 10","Dugas, Honore.","Dykers, Reginald.",,Paincourtville (La.),,1905-03-10,Roasts (Public speaking)--Louisiana--New Orleans.,,"Stubbs, William Carter, 1846-1926",Louisiana Sugar Planters' Association.,Dugas accepts the invitation to attend the banquet in honor of Dr. Stubbs.,"The Louisiana Sugar Planters' Association was founded in 1877 by a group of prominent planters.  Based in New Orleans, the group was largely responsible for setting in motion the modernization of Louisiana's sugar industry.  It merged with the American Cane Growers' Association in 1922, creating the American Sugar Cane League.",Reginald Dykers was secretary of the Louisiana Sugar Planters' Association.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Postcard to Reginald Dykers, 1905 March 10",,"Dykers, Reginald.",,New Orleans (La.),,1905-03-10,Roasts (Public speaking)--Louisiana--New Orleans.,,"Stubbs, William Carter, 1846-1927",Louisiana Sugar Planters' Association.,This is a postcard accepting the invitation to attend the banquet in honor of Dr. Stubbs. The author's name is unreadable.,"The Louisiana Sugar Planters' Association was founded in 1877 by a group of prominent planters.  Based in New Orleans, the group was largely responsible for setting in motion the modernization of Louisiana's sugar industry.  It merged with the American Cane Growers' Association in 1922, creating the American Sugar Cane League.",Reginald Dykers was secretary of the Louisiana Sugar Planters' Association.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from R.E. Blouin to Reginald Dykers, 1905 March 10","Blouin, R. E.","Dykers, Reginald.",,New Orleans (La.),,1905-03-10,Roasts (Public speaking)--Louisiana--New Orleans.,,"Stubbs, William Carter, 1846-1926",Louisiana Sugar Planters' Association.,Blouin accepts the invitation to attend the banquet in honor of Dr. Stubbs and submits names of others to be invited.,"The Louisiana Sugar Planters' Association was founded in 1877 by a group of prominent planters.  Based in New Orleans, the group was largely responsible for setting in motion the modernization of Louisiana's sugar industry.  It merged with the American Cane Growers' Association in 1922, creating the American Sugar Cane League.",Reginald Dykers was secretary of the Louisiana Sugar Planters' Association.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from Ernest H. Barton to Reginald Dykers, 1905 March 9","Barton, Ernest H.","Dykers, Reginald.",,Barton (La.),,1905-03-09,Roasts (Public speaking)--Louisiana--New Orleans.,,"Stubbs, William Carter, 1846-1926",Louisiana Sugar Planters' Association.,Barton accepts the invitation to attend the banquet in honor of Dr. Stubbs.,"The Louisiana Sugar Planters' Association was founded in 1877 by a group of prominent planters.  Based in New Orleans, the group was largely responsible for setting in motion the modernization of Louisiana's sugar industry.  It merged with the American Cane Growers' Association in 1922, creating the American Sugar Cane League.",Reginald Dykers was secretary of the Louisiana Sugar Planters' Association.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from H. M. Mayo to Reginald Dykers, 1905 March 10","Mayo, H. M.","Dykers, Reginald.",,New Orleans (La.),,1905-03-10,Roasts (Public speaking)--Louisiana--New Orleans.,,"Stubbs, William Carter, 1846-1926",Louisiana Sugar Planters' Association.,"H. M. Mayo, Secretary-Manager, New Orleans Progressive Union, accepts the invitation to attend the banquet in honor of Dr. Stubbs.","The Louisiana Sugar Planters' Association was founded in 1877 by a group of prominent planters.  Based in New Orleans, the group was largely responsible for setting in motion the modernization of Louisiana's sugar industry.  It merged with the American Cane Growers' Association in 1922, creating the American Sugar Cane League.",Reginald Dykers was secretary of the Louisiana Sugar Planters' Association.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from Henry McCall to Reginald Dykers, 1905 March 10","McCall, Henry.","Dykers, Reginald.",,New Orleans (La.),,1905-03-10,Roasts (Public speaking)--Louisiana--New Orleans.,,"Stubbs, William Carter, 1846-1926",Louisiana Sugar Planters' Association.,"Henry McCall, president of the Association, mentions having sent suggestions for toasts at the banquet in honor of Dr. Stubbs and adds a few names of possible guests.","The Louisiana Sugar Planters' Association was founded in 1877 by a group of prominent planters.  Based in New Orleans, the group was largely responsible for setting in motion the modernization of Louisiana's sugar industry.  It merged with the American Cane Growers' Association in 1922, creating the American Sugar Cane League.",Reginald Dykers was secretary of the Louisiana Sugar Planters' Association.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from Henry McCall to Reginald Dykers, 1905 March 9","McCall, Henry.","Dykers, Reginald.",,New Orleans (La.),,1905-03-09,Roasts (Public speaking)--Louisiana--New Orleans.,,"Stubbs, William Carter, 1846-1926",Louisiana Sugar Planters' Association.,"Henry McCall, president of the Association, suggests inviting women to attend the banquet in honor of Dr. Stubbs but notes ""it does not seem to be customary"" to do so.","The Louisiana Sugar Planters' Association was founded in 1877 by a group of prominent planters.  Based in New Orleans, the group was largely responsible for setting in motion the modernization of Louisiana's sugar industry.  It merged with the American Cane Growers' Association in 1922, creating the American Sugar Cane League.",Reginald Dykers was secretary of the Louisiana Sugar Planters' Association.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Letter from R. McCall to Reginald Dykers, 1905 March 9","McCall, R.","Dykers, Reginald.",,McCall (La.),,1905-03-09,Roasts (Public speaking)--Louisiana--New Orleans.,,"Stubbs, William Carter, 1846-1926",Louisiana Sugar Planters' Association.,R. McCall accepts the invitation to attend the banquet in honor of Dr. Stubbs.,"The Louisiana Sugar Planters' Association was founded in 1877 by a group of prominent planters.  Based in New Orleans, the group was largely responsible for setting in motion the modernization of Louisiana's sugar industry.  It merged with the American Cane Growers' Association in 1922, creating the American Sugar Cane League.",Reginald Dykers was secretary of the Louisiana Sugar Planters' Association.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
